room id,review count,star rating,Accuracy,Communication,Cleanliness,Location,Check In,Value,comments
13781312,10,5,10,10,9,10,10,10,"I finally tried Antico!! And it lived up to the hype and absolutely loved it! 



Traditional Neapolitan style pizza, and apparently the ingredients are actually flown in from Italy, as well as the pizza ovens themselves. The space is open and you can see the kitchen at work from the main dining area. There's a spot to grab toppings (think sea salt, garlic, parmesan and crushed red peppers) and olive oil for dipping in the kitchen area. 



We had the Margherita D.O.P and the Diavalo. The salami and peppers are a perfect combo on the Diavalo, and just the right amount of spicy. Fresh buffalo mozzarella and tomatoes on both, which obviously. I also grabbed a Limonata to complete the experience and think back to my recent afternoon Italian escapades. If you're into more traditional pizza, this is THE spot to go in the ATL."
,,,,,,,,,"Sooo... this place may not be for me. I visited this place because someone told me that he drove a few additional hours just to stop by this pizza place again. We ordered San Gennaro, which came with salsiccia, dolce piccante pepper, bufala, and cipolline. We all liked this one much better than the other one. The other pizza that we had was Diavola. Diavola came with spicy sopressata, pepperonata, and bufala. I think San Gennaro is worth trying; however, I personally won't recommend Diavola. It was also pretty spicy to me. Our pizza crust was way too burnt for both pizza - I doubt that's how they should be. This definitely made the pizza taste not as great... 



Antico seemed to be a popular hang out place - saw many people brought alcohol on their own. Overall, it was an okay experience for me and the pizza was priced on the expensive side. I am not sure I'd be coming again."
,,,,,,,,,"Authentic Italian pizza. Limited choices. It's a a local favorite. Very fast service. Good for college students or take out. You can see the the cooks making the pizza, the kitchen is right by the seating area. 



The pizza is quite big so be cautious of how many pizzas you are ordering ."
,,,,,,,,,"Quick Pizza master class - there are several types of pizza (excluding deep crust): 

Traditional Italian - thin crust baked in stone oven at around 800deg for ~1.5min (i.e. Antico) 

Italian fusion - slightly thicker, breadier crust than tradition and combines American and Italian (i.e. Fellinis) 

American - generally thick-ish crust, cheezy, loaded with toppings (i.e. gameday Papa Johns). 

*there are other pizza types but this is a rough categorization without getting too granular (new york, chicago, etc.) 



Antico's makes some of the best traditional Italian pizza's you'll get in Atlanta with flavorful toppings served fresh and hot from their wood fired ovens. The atmosphere is chill and don't forget to get some toppings (peppers, parm, dipping oil etc.)."
,,,,,,,,,"The atmosphere of this restaurant alone deserves five stars. I really felt like I was back in Italy when we ate at the large communal tables near the pizza ovens, watching them stretch out the dough. Even the menu was in euros and drinks were all bottled. 



The pizza was super good, perfect amount of crispiness. They use big hunks of mozzarella. The pizza with roasted red pepper was amazing, I could eat it all day. 

I also loved how they have a little bar of ""toppings"" red peppers, garlic, spicy sauce, parm cheese, and olive oil. This place is awesome!!"
,,,,,,,,,"what.an .experience ugh! I def don't understand the hype about this place. Where do I begin? 



When we first arrived we went to the wrong building...twice. How does one do that? From a lack of direction, confusing signs and about 4-5 different restaurants under one business owner. We brought two bottles of wine and awkwardly assumed that we were at the correct spot and sat down in the outdoor area. The owner came over and told us that the byob section was in the other building so we couldn't sit there. He was the best part about the experience. He was so nice and gave us great suggestions and apologized profusely for the inconvenience. 



When we went to the correct spot I was instantly turned off. I expected it to be a little more formal I guess? Not super formal but just like a normal place where you can sit at your own table and sip your wine and eat your food in peace, ya know? Absolutely not! They have family style tables and you have to sit next to complete strangers. The manager gave us a great suggestion to find your table before you order so that you can find a table and won't have to stand and eat your pizza, thank God he told us that. It was kinda busy and we had to wait for a table, and then track down a bus boy to wipe it after just standing in front of someone's else's empty plates and napkins for 5 minutes. 



Usually I wouldn't mind the family style tables too much but the couple next to us were soooo awkward. They were way too friendly and talked our ear off. When me and my bestie tried to toast, they were like, ""yes! Let's toast"" and shoved their dirty cups next to our cups. To make matters worse, they ended up getting into an argument and asked for our advice about their argument. We felt so uncomfortable and tried to eat our food as soon as possible because they continued to argue the whole time. 



When our food came it looked delicious. I ordered the Bianca and what a mistake that was. It tasted like plain bread and had 0 flavor, at all, none, nata, zilch. Get the point? My friend ordered the Lasagna pizza and she thought it was ""cool"", def nothing to rant and rave about. Don't order the Bianca! I rather go to Dominos! It was that bad. Also, there were so many little nats flying around or pizza. My friend had one nat into her last cup of wine. 



I just won't come here again. It's just not my type of place, but to each is own."
,,,,,,,,,"I love Antico pizza. The crust is delightfully thin and crispy. The cheese is not overwhelming and the toppings are although limited, very well paired. I can easily eat half a large pizza in one seating. My current favorite is the san gennaro. I love how the sweet peppers balance the salty sausage. Best part about this location is the BYOB. Make sure to come snag a table early if you have a group. This place gets packed fast (although they do move the line fast too)! Make sure to go next door and grab a cannoli at their cafe! 



Parking: Easy. In the back and side parking."
,,,,,,,,,"Impressed. Great thin, oven-baked pizza at a great venue. The place is BYOB and you order at the counter. Feel free to drink wine if the line is long, they provide plastic cups. 



After you order, half the kitchen is reserved for guest seating. Pick a table. The pizza came out in minutes shockingly. We ordered 4 pizzas for 7 people and it was plenty. $20 ish dollars apiece. 



The diavolo was my fav. I liked the red peppers they had. As we were eating, the workers were throwing pizzas around and baking them in one of three ovens. 



I wish there was a place like this in San Francisco!"
,,,,,,,,,"Plain and simple, Antico Pizza dishes up what must be some of the best pizza in Atlanta, and it was very much on par with some of my favorite spots in the country. 



Star 1: How were the service and atmosphere? 



If you've been to DeSano Pizza at any of their locations nationwide Antico will look familiar, with its counter ordering and backroom that offers a clear view of the cooks and ovens. It's a great setup, and the service was fast and friendly. Star Granted. 



Star 2: How were the portions relative to the cost? 



For $22.00, my coworker and I got a full Diavola pizza, which turned out to be more than enough to cover a dinner for two. That obviously maths out to $11.00 per person, which was more than reasonable for a great pizza dinner. Star Granted. 



Stars 3 and 4: How was the food? 



This was truly excellent pizza, with thick and flavorful crust, cheese than maintained its shape bite after bite, and a great combination of toppings in the form of pepperonis and flavorful spicy peppers. Game. Set. Match. Dual Stars Granted. 



Star 5: Would you eat here every day if you could? 



This is a close one, but I ever so slightly prefer DeSano Pizza to Antico, and Antico falls just short of my top spot Tony's in San Francisco. No Star Granted."
,,,,,,,,,"I consider myself a pizza connoisseur. Like, I make it once a week. I'm really into it. I love ALL pizza, as everyone does, but of course there are those special pies that you always lean back on as a reference for ""great pizza"". Antico did that. 



The verdura pizza is what called our names. It came out fairly fast, with all kinds of great add ons. I can't talk about the food until I talk about the atmosphere though. 



You walk in and order at a counter. It's hot and loud and somehow extremely endearing. There are about 8-10 pizza options, all Neapolitan style. This place is very cafeteria style and is BYOB, so grab your wine. Glasses are on the table. 



Alright back to food. The pizza comes out on a big baking sheet, fresh out of the over. The Verdura comes with broccoli rabe for a nice green, shrooms for a nice meaty flavor, cherry tomatoes for that umami pop we all love, and buffalo moz to hold it all together. 



My gosh y'all this was the best pizza I've ever had. It was so familiar yet so complex tasting, unlike any pizza I've ever had. For the price, it's unbeatable. Please come and eat til you can't eat any longer."
