overall rating,Total numbers of roo ID,room id,review count,Accuracy,Communication,Cleanliness,Location,Check In,Value
4.5,3,14993473,3,10,10,10,10,10,9
,,9029574,14,10,10,10,10,10,9
,,13999372,3,10,10,7,10,10,10
5,12,13781312,10,10,10,9,10,10,10
,,4190811,18,10,10,10,10,9,9
,,11826823,4,10,10,10,10,10,10
,,14470092,10,10,10,10,10,10,10
,,1905098,46,10,10,10,10,10,10
,,14984780,3,10,10,10,10,10,9
,,5131362,13,10,10,10,10,10,10
,,14428305,16,10,10,10,10,10,10
,,11222872,63,10,10,10,10,10,10
,,9384282,50,10,10,9,10,10,10
,,14944415,4,10,10,10,10,9,10
,,11786145,20,10,10,10,10,10,10
