room id,star rating,Accuracy,Communication,Cleanliness,Location,Check In,Value,comments
435211,5,9,10,10,10,10,10,"Cecily is a great host, v hospitable. She helped me get the lay of the land quickly being my first time in Austin and gave me good recommendations for great places to eat, drink and listen to music. The space is certainly enough for 1 person to be comfortable but my assumption is you'll spend v little time there since there's so much to do and see in Austin. "
,,,,,,,,Cecily was a nice host. We barely saw her and her daughter (adorable). The bedroom and bathroom were super clean. 
,,,,,,,,Comfortable and quiet- a great place to use as a base for work and for exploring Austin.  Thanks!
,,,,,,,,Perfect location for my stay. Cecily was very accommodating even though I unfortunately didn't get to meet her. 
,,,,,,,,Cecily is a wonderful host.  She communicated very clearly before and during my stay. It was perfect as I just needed a bedroom and bathroom for my quick trip to Austin on business.  
,,,,,,,,"Cecily was very nice and welcoming. The bedroom was spacious, the bed was comfortable and clean, and Cecily set out a pitcher and glasses in our bedroom. She thought of everything! The house was cozy and full of interesting art and books.  It is a basement apartment, so there was not much natural light, and it was slightly stuffy. But overall, it was the perfect place to stay, and we enjoyed it thoroughly. "
,,,,,,,,"Cecily is a charming thoughtful host. I was in town for a festival and kept very late hours. It was nice that lights were always left on for me, and that Cecily made provisions for my breakfast. I enjoyed chatting with her and her adorable daughter. The apartment is basic but cosy and tastefully furnished. It's located in a beautiful area of town that's not too far from Austin's must see sights. Highly recommended."
,,,,,,,,Cecily was amazing and helpful. The space was perfect for us and the location could not have been better. I would love to stay again.
,,,,,,,,"Another exceptional stay at Cecily's place!  She's truly an amazing hostess and made me feel very welcome.  I really enjoyed my conversations with her about all of the local amenities and events.  She also made sure that my stay was very comfortable, quiet and relaxing.  The room & bathroom were prepared and clean upon my arrival and stayed that way throughout.  Great neighborhood in a great location.  I would definitely stay here again!  Thank you for having me, again, Cecily!  You rock  :)"
,,,,,,,,"Cecily and her daughter were wonderful, the place was great and in a great location, and everything went very smoothly. All in all, staying with Cecily made a terrific trip that much better and I would enthusiastically recommend it to anyone coming to Austin! Thanks so much, Cecily!"
,,,,,,,,"My cousin & I very much enjoyed our stay! Cecily is such a warm, welcoming host. The apartment is very charming, and the location is quiet despite its super convenient downtown location! We also found the space very clean!! Thank you for hosting us! "
,,,,,,,,"She makes you feel at home, place is clean, cozy and convenient. Cecily went out of her way to make sure we loved everything. Very sweet lady, and her daughter is an angel ... Lovely family .. We are very greatful !"
,,,,,,,,A wonderful stay and a wonderful home! Thank you very much! 
,,,,,,,,"Cecily was a lovely hostess; her home is super central, in downtown Austin just off 6th street. We were offered coffee in the morning and she was very helpful with recommendations and advice. Simply a great place to stay if you want to visit the city"
,,,,,,,,"I had a wonderful stay. Cecily was so warm and inviting! At the same time, she was really respectful of my space and time as I was in town for business. The home is super cozy, full of character, and very clean. The individual room is quite roomy, and I found it nicely prepared when I arrived. I would definitely recommend!"
,,,,,,,,Cecily's place is super centrally located to downtown and all the spots on Sixth street.  I could walk to the mega Whole Foods as well as towards all the clubs and bars.  You have your own window air conditioning unit so you can set your room to whatever A/C level you like.  I was in and out early and late and it was never a problem.  Checkin was flexible too which was nice since I took a redeye in and arrived even earlier than anticipated.
,,,,,,,,"Cecily made me feel welcome, the neighbourhood was nice and quiet and reasonably close to downtown Austin."
,,,,,,,,"Simple, comfortable room on a quiet corner in a leafy neighborhood just a few blocks from center of the Austin action. Cecily is a friendly and accommodating host. Just two blocks from Walton's for great breakfast / coffee / snacks. Very interesting house and gardens."
,,,,,,,,"Cecily is in the basement apartment in a gorgeous building. The upstairs landlord, Blair, was very nice as well. We had a large bed and a private bedroom at the end of the hall in her apartment. I found the bed to be rather hard, but I do have a sensitive back. Cecily's daughter is adorable and both of them were very welcoming. You just can't beat the location! Walking distance to tons of bars and restaurants, the Capitol, and if you don't mind a longer walk, you could get to UT Austin. All in all a great trip, great location and very nice people."
,,,,,,,,"Cecily took great care of us! She set up our room with water, a well made bed, towels, all of the necessary amenities. The home is very ""austin-y,"" with lots of fun/interesting furniture and accessories. We very much felt at home while staying here, and would recommend Cecily's home to anyone looking for a great stay in Austin. Thanks again Cecily! :)"
,,,,,,,,We had an excellent stay at Cecily's - the room is cozy and clean and exactly as described.  The flat is very central.  Cecily was a wonderful host - very communicative and welcoming and completely cool and willing to let you get to it and do your thing.   I couldn't imagine a nicer place to stay.
,,,,,,,,"What's left to say that hasn't already been said?! I loved my time in Cecily's home. The house is perfectly located; I was able to walk anywhere I wanted to go. The room was spacious and comfortable, and it had all the amenities I could possibly have needed (extra blankets, an iron & ironing board, cold water, a mini fridge, a robe). The bed was super comfy! I loved the decor and the lived-in feeling of the place. I only met Cecily (and Posey!) briefly, but it was a pleasure. Definitely stay here if you have the chance!"
,,,,,,,,"Really exceptional experience, I feel fortunate to have booked with Cecily. Very nice private space, with a small fridge, iron and ironing board, AC in the room, lovely home/neighborhood and great access to downtown Austin. Cecily and her charming daughter Posey were a joy to visit with during my stay.  Couldn't have been better, will look forward to staying there again on my next trip to Austin. "
,,,,,,,,"Unfortunately, we didn't have a good experience at all. We just drove up there from San Antonio and our experience with Airbnb was flawless there until we reached Austin. Now that I look back at the pictures in the listing, it seems like additional lighting was used for those photos. This place was extremely depressing. The lighting was horrible and no, you do not â€œget plenty of lightâ€ as mentioned in the listing. It's Sub-level. The walls were blue, cracked with plenty of dust in the room. My friend and I tried to leave the house as early as we could everyday and stay out as much as time allowed, because it felt like a prison cell- quiet depressing. Yes, this place is close to downtown but Uber rides are so dirt cheap in Austin  (around $5.50 every time I used one) that itâ€™s better to be at a slightly farther location that is actually cheaper, and youâ€™ll still save money. . Considering everything I mentioned, this place was WAY overpriced. With lots expensive food and drink choices, our 3 days in Austin cost us only ~$500 (for 2 ppl - yes, itâ€™s that cheap in Austin). It is unbelievable that we paid nearly $300 (after fees) to stay here. Lastly, we got to meet the host twice. I don't recommend this place.  "
,,,,,,,,Everything was perfect for my brief trip to Austin for a conference. The location was very convenient to walk to the heart of downtown. Cecily and her daughter were inviting and kind and her home was comfortable. Highly recommended!
,,,,,,,,"I was staying at Cecily's place because I had a convention to attend in Austin. Cecily's house is very convenient to downtown, almost everywhere can be walking distance.  Also Cecily is such a caring person. Her daughter is adorable too. I'd like to stay her place again. "
,,,,,,,,"Does this Airbnb even need another glowing 5-star review? Quit looking around and reserve the place, already! I have nothing but great things to say about our stay at Cecily's. The room was spacious, the bed was huge and comfortable, and the noise from the rest of the house was deadened so that even a spunky toddler didn't wake us up. The house is in a great location - we walked to Barton Springs Pool, Zilker Botanical Garden, Franklin BBQ, all up and down 6th street, the State Capital, and more! The only time we took an Uber was to be dropped off at South Congress - we walked back.
Cecily was very responsive to all our needs and accommodated our schedule. And, as if all of this wasn't enough to convince you to stay, Cecily left us a sweet little Valentine, as we were there on Valentine's day.
Great location, great house, great host. Thanks for everything, Cecily. "
,,,,,,,,"Great location, convenient to numerous restaurants and nightlife. We spent most of our time out enjoying the city, and appreciated the quiet and comfortable room at the end of the day. It was very easy to stay in contact with Cecily via text to ask questions and confirm arrival/departure times, and we felt right at home. And her daughter is so sweet and friendly!"
,,,,,,,,"It was a lovely experience to stay with Cecily - I couldn't possibly recommend her more highly as a host, or recommend her space more highly as a jumping-off point into Austin. The home is beautiful, the bedroom is private and comfortable, and coming and going was a breeze. The house is a quick stroll to the Austin city center, and I've been left with some serious Austin envy as a fatigued New Yorker. Cecily knew the area well and had some great advice for local eats (even for rascally vegans like me). Please consider staying here on your visit to Austin!"
,,,,,,,,We had a great time. The location is downtown and Cecily was a very accommodating host.
,,,,,,,,"Cecily and Posey provided comfortable accommodations and we're very hospitable.

If you are a sole traveler in search of an alternative to $120/$150 a night hotel's in downtown then this is the right place for you.

Once I dropped my suitcase I was able to walk *everywhere* within 10 to 15 minutes! Super location."
,,,,,,,,Cecily was a great host and very accommodating with my check in and check out schedule. The apartment is within walking distance of downtown and was very clean and welcoming.
,,,,,,,,"My stay with Cecily and Posey was absolutely delightful!  Every morning I was greeted with warmth and gracious hospitality.  Their home is very welcoming, exactly as described.  The neighborhood was very convenient for me; close enough to the convention center that I could get there easily, and yet far enough away that it was a neighborhood.  It was also very close to Whole Foods, Trader Joes and miles of riverside trails.  I was able to eat home-cooked food and enjoy long runs in-between my activities at the convention center."
,,,,,,,,"Cecily was a fantastic host! The room had everything I needed for my short stay. Cecily was welcoming, helpful, and yet provided me with plenty of space. I had no trouble contacting her when I needed something. The bed was comfortable, and the neighborhood felt safe, yet was close enough to walk downtown. Highly recommend it. "
,,,,,,,,We had a wonderful stay!  Cecily's place was nicer than described.  The best part was the welcome feeling we received prior to arrival.  The accommodations were perfect and you could not ask for a better location.  I was originally concerned about the bed but it turned out more comfortable than our own.  The fridge in the room and cold water were a nice touch.  It was great to meet the family and talk everything Austin.  Awesome all around!
,,,,,,,,"Cecily was a wonderful host, and her place was wonderful.  Great location, just a few blocks away from everything.  It really is the perfect location as it's two blocks away from Sixth Street so you hear nothing from the home but just minutes away from all the activity."
,,,,,,,,Cecily was such an amazing host! The experience was exactly what I expected and matched the description on AirBNB. Cecily was super friendly and made me feel right at home. I would definitely stay again! Thank you for having me!
